16.17	6.33	72.47	
16.07	8.10	66.69	
15.90	9.00	61.77	
14.27	7.93	61.80	
15.53	5.27	74.33	
30.33	3.03	82.30	
28.59	1.69	88.83	
24.77	1.00	91.47	
45.20	0.93	92.63	
51.77	0.00	94.07	
47.69	0.00	95.48	
33.70	0.00	95.50	
43.40	0.00	95.17	
38.04	0.00	96.26	
39.25	0.00	96.00	
39.55	-0.03	95.97	
35.08	-0.83	95.25	
36.57	0.00	95.70	
33.57	0.00	95.80	
29.27	0.00	95.37	
23.63	1.67	90.83	
18.38	6.03	75.07	
16.57	8.47	64.43	
11.37	7.00	66.53	
13.60	7.17	68.53	
13.63	7.70	67.23	
15.70	7.00	70.97	
15.63	7.00	73.00	
15.33	7.00	74.63	
20.53	7.00	75.63	
26.13	7.00	77.10	
25.20	7.00	77.57	
14.50	7.00	75.77	
14.27	7.00	75.37	
12.13	3.47	70.20	
12.07	7.00	75.87	
6.67	7.00	75.67	
5.25	5.68	77.50	
5.86	7.50	84.29	
1.97	8.00	88.70	
2.33	8.00	87.00	
1.67	8.77	89.77	
1.60	9.00	89.93	
1.20	9.80	78.30	
1.43	10.90	71.53	
1.10	11.63	71.10	
0.97	12.00	66.07	
1.10	12.00	65.77	
2.10	11.37	68.10	
3.33	10.33	72.33	
3.37	10.00	74.47	
3.90	10.00	71.07	
3.03	10.00	72.43	
2.80	10.00	73.03	
2.57	10.37	68.07	
2.77	10.47	67.90	
3.17	10.00	74.57	
2.41	8.79	87.14	
1.84	8.00	92.84	
5.61	8.00	96.57	
2.40	8.00	96.35	
1.60	8.00	94.27	
1.62	8.00	93.28	
2.23	8.00	92.47	
2.07	8.80	90.70	
4.13	9.00	88.57	
2.80	9.93	84.47	
4.23	10.67	81.03	
3.00	11.33	79.13	
3.93	11.37	80.47	
3.53	11.97	79.43	
3.70	11.00	81.27	
4.47	10.33	82.70	
8.76	10.00	85.79	
8.76	8.97	88.62	
10.67	8.00	91.57	
11.23	8.00	91.50	
6.47	8.00	90.50	
7.17	7.93	92.33	
10.27	6.80	94.20	
11.63	6.00	96.41	
9.71	6.00	96.59	
16.89	4.94	97.56	
12.53	5.00	96.97	
12.30	5.20	96.87	
7.10	7.10	87.43	
3.00	9.45	66.97	
16.83	8.57	79.67	
16.30	8.30	84.80	
15.67	9.00	81.67	
14.67	8.07	82.80	
2.93	8.90	63.33	
2.37	9.00	62.03	
2.93	9.00	59.47	
5.47	9.00	59.67	
7.90	8.77	74.60	
10.23	8.50	80.27	
1.07	9.77	73.70	
0.70	8.43	79.83	
1.00	7.73	82.30	
1.48	7.00	84.00	
1.54	6.46	90.68	
0.89	5.89	93.67	
1.56	5.88	92.50	
0.67	5.03	87.90	
0.59	5.00	87.52	
0.33	5.00	86.67	
0.67	4.60	93.20	
1.37	4.70	95.47	
2.34	5.00	95.07	
3.27	5.57	97.10	
2.39	6.00	96.00	
2.90	5.90	94.47	
1.73	5.00	94.20	
2.37	5.00	96.23	
1.90	4.23	95.33	
2.40	4.00	95.30	
2.77	4.00	96.00	
2.57	4.00	96.00	
3.03	4.00	95.67	
1.96	3.50	94.69	
3.42	3.89	95.47	
6.74	3.00	97.00	
5.90	3.00	95.17	
5.70	3.00	95.57	
6.77	2.70	96.00	
7.10	2.00	97.90	
4.60	4.47	93.83	
4.77	6.93	84.47	
3.00	8.13	78.70	
2.80	8.50	76.00	
2.37	9.27	71.97	
2.27	8.77	73.83	
6.30	6.87	82.33	
8.17	6.00	86.50	
3.50	6.00	84.60	
2.47	6.00	80.73	
1.97	6.00	78.00	
1.80	6.00	74.97	
1.30	6.00	71.77	
1.17	6.00	69.37	
0.86	5.07	63.00	
0.77	5.23	60.17	
0.67	6.29	69.92	
0.86	5.03	80.90	
0.70	4.73	86.93	
0.57	4.00	90.57	
0.83	4.00	91.40	
0.41	4.00	88.62	
0.23	4.70	85.57	
0.60	5.00	82.97	
0.73	5.07	81.77	
0.73	6.00	79.23	
0.80	6.57	74.40	
9.90	6.23	93.90	
10.57	7.00	95.97	
9.97	7.37	96.00	
7.47	8.73	96.27	
3.17	10.00	94.23	
1.77	10.00	94.23	
4.90	8.83	93.63	
0.90	10.57	90.43	
0.87	11.00	89.90	
0.67	11.00	89.59	
0.47	10.00	89.89	
0.44	10.00	95.81	
0.55	8.45	96.18	
3.21	8.67	94.96	
4.83	7.60	94.90	
6.07	7.00	96.83	
5.73	7.23	96.63	
6.00	8.93	94.20	
4.57	10.00	86.80	
4.07	11.07	83.67	
3.13	11.97	80.20	
1.83	12.20	71.97	
1.77	12.23	72.30	
1.50	11.07	73.53	
2.03	9.37	78.37	
3.30	9.00	78.87	
2.10	9.00	77.30	
2.13	9.00	78.47	
2.28	8.24	79.38	
1.93	8.00	78.47	
1.83	6.67	73.73	
2.60	7.17	71.67	
5.35	9.00	73.00	
5.00	8.80	67.03	
4.00	8.00	72.00	
4.62	5.86	70.28	
3.59	7.00	69.07	
3.23	6.17	74.93	
2.97	6.00	74.40	
2.60	6.10	73.70	
2.73	7.00	71.80	
2.38	7.00	69.83	
2.20	7.47	68.90	
2.53	8.00	68.63	
2.27	8.00	67.63	
3.20	7.70	68.93	
3.27	7.00	69.53	
3.30	7.00	70.97	
3.87	7.00	71.03	
4.07	7.00	72.03	
4.10	6.67	73.00	
3.77	6.40	73.00	
3.17	6.10	73.10	
3.20	6.00	74.00	
3.27	6.00	74.53	
3.41	6.00	74.17	
3.14	6.00	73.33	
2.90	0.80	66.00	
3.00	2.94	69.35	
4.06	2.94	65.47	
4.00	6.00	75.00	
4.18	6.00	74.86	
4.23	6.07	73.67	
4.30	8.03	67.83	
3.53	10.00	60.97	
3.43	11.00	58.07	
3.59	11.66	56.28	
3.70	11.40	56.37	
3.70	10.20	59.50	
3.43	7.47	67.20	
4.80	6.57	70.43	
6.10	6.00	71.45	
6.17	6.00	70.87	
6.23	6.00	70.30	
5.43	6.00	70.77	
5.03	6.00	70.27	
3.90	6.00	70.20	
3.87	6.00	70.13	
3.17	5.76	68.14	
3.48	5.00	72.00	
3.73	5.00	72.00	
3.85	3.04	65.15	
3.90	5.00	70.62	
3.87	5.00	70.47	
3.37	5.07	70.03	
2.90	7.03	63.90	
2.69	8.90	57.52	
2.10	9.90	54.10	
1.86	10.59	52.14	
2.10	11.00	51.37	
2.21	9.86	53.45	
3.66	6.79	61.10	
4.23	6.00	63.40	
3.87	5.97	65.17	
3.87	5.13	64.90	
3.70	5.00	64.20	
3.30	5.00	61.83	
3.23	5.00	63.63	
2.53	5.00	62.17	
2.08	5.00	63.15	
1.77	4.73	64.00	
1.75	4.42	63.38	
2.07	4.00	62.87	
2.25	4.00	64.04	
2.16	4.00	64.06	
4.11	3.04	64.19	
4.00	3.70	63.53	
3.48	5.24	58.41	
2.97	6.97	53.13	
2.50	7.87	50.97	
2.24	7.79	51.52	
1.97	7.30	51.83	
2.17	6.24	54.86	
3.07	3.40	63.10	
3.20	3.00	64.90	
3.48	3.00	65.28	
3.00	3.00	65.69	
2.38	1.28	62.97	
2.70	2.73	65.83	
3.00	2.80	67.70	
4.40	2.23	68.67	
4.80	2.00	69.57	
5.93	2.00	69.90	
4.62	0.34	64.52	
3.77	2.00	68.97	
4.17	2.00	68.90	
4.37	2.43	68.10	
4.31	3.00	66.17	
4.62	3.69	64.38	
4.48	4.00	63.66	
4.90	4.00	62.87	
5.43	4.40	63.00	
5.47	5.00	61.67	
4.45	3.79	65.07	
4.30	3.00	66.87	
5.10	3.00	68.07	
5.47	3.00	69.00	
5.17	3.00	68.37	
5.20	3.00	67.60	
6.33	2.10	68.97	
7.37	2.00	70.00	
7.60	2.00	70.00	
7.35	2.00	70.81	
7.57	2.00	70.20	
8.86	2.00	70.00	
9.17	2.00	69.70	
8.59	2.48	68.55	
9.00	3.00	68.00	
8.47	3.00	68.37	
9.34	3.00	69.41	
9.47	3.37	71.23	
9.33	4.90	65.40	
9.20	5.57	62.43	
9.34	5.76	62.52	
9.93	6.00	62.03	
9.76	5.48	63.07	
11.00	5.00	67.93	
10.97	4.17	76.76	
10.48	3.00	86.21	
9.83	3.00	89.10	
8.07	3.00	92.03	
7.03	3.00	91.23	
3.52	3.59	87.69	
2.47	4.00	84.07	
2.59	4.00	79.97	
2.69	4.76	78.21	
3.38	5.00	78.00	
3.93	5.00	77.93	
4.45	5.00	77.34	
4.17	5.76	76.03	
4.45	5.48	79.17	
4.59	5.38	83.86	
4.24	6.00	83.14	
4.45	7.00	77.86	
0.80	9.77	78.27	
1.21	9.48	77.72	
1.34	8.66	84.34	
2.03	8.00	87.38	
1.72	8.00	85.90	
2.07	8.00	86.57	
2.10	8.00	87.76	
1.97	7.31	89.17	
1.59	7.00	88.21	
1.34	7.00	88.41	
1.90	7.00	91.90	
1.55	7.00	92.17	
2.63	6.27	94.07	
4.13	6.00	95.90	
8.66	5.69	96.17	
9.13	4.47	96.13	
6.57	4.30	98.40	
5.69	6.45	95.90	
4.86	9.28	85.03	
7.48	10.21	83.66	
6.93	9.83	86.62	
5.45	9.00	91.21	
5.24	8.69	92.69	
3.97	7.55	93.86	
3.07	7.00	96.03	
3.14	7.00	98.86	
3.48	7.00	100.07	
2.10	7.00	99.23	
1.90	6.34	99.48	
1.86	7.00	100.03	
1.86	7.00	100.00	
2.90	7.00	100.47	
3.07	7.97	101.00	
1.37	9.80	103.00	
0.14	11.00	101.17	
0.41	11.00	100.76	
9.48	10.03	97.86	
24.38	7.72	98.90	
18.93	7.00	99.23	
11.00	6.55	98.66	
16.34	6.00	99.86	
15.38	6.97	99.48	
16.79	7.86	98.90	
19.07	9.55	96.86	
11.93	10.90	93.31	
8.45	11.00	91.03	
7.21	11.00	88.55	
7.21	11.00	88.90	
11.93	10.34	93.21	
24.52	8.69	96.83	
34.52	8.00	98.69	
47.00	8.00	98.93	
40.00	7.73	99.00	
31.27	8.00	98.67	
22.59	7.10	98.00	
15.00	7.00	98.00	
17.24	7.00	98.66	
18.43	7.00	98.97	
17.67	7.00	98.13	
15.14	6.97	98.03	
12.14	6.03	98.00	
9.55	6.00	98.00	
9.27	6.00	98.80	
10.87	6.00	100.00	
7.17	6.00	99.97	
4.83	6.00	99.17	
5.66	6.00	99.72	
5.83	6.93	98.93	
6.07	7.00	97.38	
4.57	7.13	96.37	
2.77	7.00	95.23	
3.24	6.52	95.90	
3.69	6.00	96.38	
5.97	6.00	96.83	
11.21	5.41	97.31	
19.38	5.14	98.76	
24.90	5.00	98.21	
33.69	5.00	98.90	
41.00	5.34	98.28	
45.72	5.00	99.00	
25.21	5.00	98.21	
20.03	5.00	97.93	
16.10	4.41	97.48	
18.48	3.34	98.69	
20.10	2.66	98.93	
21.90	3.00	100.00	
22.72	3.90	99.14	
24.45	4.00	99.66	
22.69	4.31	100.55	
21.34	5.31	98.48	
12.76	6.55	94.48	
11.03	7.28	90.83	
9.14	8.00	88.17	
9.03	9.31	85.62	
8.37	8.53	84.87	
11.90	8.38	86.69	
10.90	7.07	91.14	
10.48	7.00	93.17	
12.52	7.00	94.34	
14.72	6.17	94.24	
23.53	5.40	94.60	
