"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"5658","XHPROPM25IN1398A","0.6","9","8","71","14","","2017/8/15 15:00:00"
"5659","XHPROPM25IN1398A","0.7","25","13","9","11","37","2017/8/16 4:00:00"
"5660","XHPROPM25IN1398A","0.7","10","9","103","18","20","2017/8/16 13:00:00"
"5661","XHPROPM25IN1398A","","28","14","9","19","33","2017/8/17 3:00:00"
"5662","XHPROPM25IN1398A","0.7","24","33","11","12","28","2017/8/16 2:00:00"
"5663","XHPROPM25IN1398A","0.7","","9","78","17","32","2017/8/15 13:00:00"
"5664","XHPROPM25IN1398A","0.6","15","10","22","12","17","2017/8/16"
"5665","XHPROPM25IN1398A","0.8","33","15","21","15","39","2017/8/16 22:00:00"
"5666","XHPROPM25IN1398A","0.7","13","18","37","15","15","2017/8/16 10:00:00"
"5667","XHPROPM25IN1398A","0.8","12","9","84","18","25","2017/8/16 12:00:00"
"5668","XHPROPM25IN1398A","0.7","12","","58","17","20","2017/8/15 11:00:00"
"5669","XHPROPM25IN1398A","0.7","15","10","30","10","31","2017/8/15 22:00:00"
"5670","XHPROPM25IN1398A","0.7","17","11","41","9","26","2017/8/15 20:00:00"
"5671","XHPROPM25IN1398A","0.8","23","33","21","16","","2017/8/16 9:00:00"
"5672","XHPROPM25IN1398A","0.8","25","9","39","12","39","2017/8/16 20:00:00"
"5673","XHPROPM25IN1398A","1","30","18","11","26","26","2017/8/17 8:00:00"
"5674","XHPROPM25IN1398A","0.8","16","21","23","17","","2017/8/15 9:00:00"
"5675","XHPROPM25IN1398A","0.6","11","8","50","11","43","2017/8/15 18:00:00"
"5676","XHPROPM25IN1398A","0.8","28","19","6","17","34","2017/8/16 7:00:00"
