"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"12193","XHPRO1582A","1.349","44","18","75","20","115","2017/2/9 21:00:00"
"12194","XHPRO1582A","1.064","99","26","16","35","182","2017/8/24 22:00:00"
"12195","XHPRO1582A","1.029","102","43","9","39","140","2017/8/25 1:00:00"
"12196","XHPRO1582A","2.639","85","46","36","39","112","2017/8/26 17:00:00"
"12197","XHPRO1582A","2.142","83","50","9","50","176","2017/8/25 6:00:00"
"12198","XHPRO1582A","1.628","85","56","9","47","204","2017/8/25 4:00:00"
"12199","XHPRO1582A","10.004","118","168","25","283","434","2017/2/13 11:00:00"
"12200","XHPRO1582A","6.25","90","92","15","228","375","2017/2/13 9:00:00"
"12201","XHPRO1582A","2.869","72","88","86","92","154","2017/2/13 15:00:00"
"12202","XHPRO1582A","2.411","91","41","23","43","141","2017/8/26 18:00:00"
"12203","XHPRO1582A","3.794","103","74","48","49","161","2017/8/26 16:00:00"
"12204","XHPRO1582A","1.504","103","48","11","45","97","2017/8/25"
"12205","XHPRO1582A","1.225","40","16","77","10","65","2017/2/9 22:00:00"
"12206","XHPRO1582A","4.293","91","105","19","155","252","2016/12/15 9:00:00"
"12207","XHPRO1582A","3.608","90","73","16","111","159","2016/12/15 6:00:00"
"12208","XHPRO1582A","3.463","93","115","17","124","190","2016/12/15 7:00:00"
"12209","XHPRO1582A","2.794","73","71","27","74","164","2016/12/15 10:00:00"
"12210","XHPRO1582A","1.501","22","22","78","33","49","2016/12/15 12:00:00"
"12211","XHPRO1582A","1.543","26","17","83","8","42","2016/12/15 15:00:00"
"12212","XHPRO1582A","1.665","23","26","67","49","52","2016/12/15 11:00:00"
"12213","XHPRO1582A","1.431","32","19","74","9","46","2016/12/15 16:00:00"
"12214","XHPRO1582A","1.456","23","20","82","25","45","2016/12/15 13:00:00"
"12215","XHPRO1582A","3.037","78","77","32","183","235","2016/12/16 11:00:00"
"12216","XHPRO1582A","1.708","63","25","44","20","51","2016/12/15 17:00:00"
"12217","XHPRO1582A","3.041","81","73","38","181","240","2016/12/16 12:00:00"
"12218","XHPRO1582A","3.502","96","99","17","102","154","2016/12/16 1:00:00"
"12219","XHPRO1582A","3.912","96","101","17","101","171","2016/12/16 4:00:00"
"12220","XHPRO1582A","3.671","109","87","17","120","182","2016/12/16 7:00:00"
"12221","XHPRO1582A","3.537","111","85","17","107","187","2016/12/16 5:00:00"
"12222","XHPRO1582A","3.654","104","108","17","130","194","2016/12/16 8:00:00"
"12223","XHPRO1582A","3.838","104","109","17","167","243","2016/12/16 9:00:00"
"12224","XHPRO1582A","1.831","84","34","23","30","59","2016/12/15 18:00:00"
"12225","XHPRO1582A","4.102","102","96","17","107","226","2016/12/16 2:00:00"
"12226","XHPRO1582A","3.009","87","99","22","147","212","2016/12/16 10:00:00"
"12227","XHPRO1582A","3.581","102","87","17","112","181","2016/12/16 6:00:00"
"12228","XHPRO1582A","3.433","94","96","17","90","185","2016/12/16"
"12229","XHPRO1582A","4.045","95","120","17","110","179","2016/12/16 3:00:00"
"12230","XHPRO1582A","2.202","97","84","18","80","146","2016/12/15 19:00:00"
"12231","XHPRO1582A","2.425","104","109","17","94","160","2016/12/15 21:00:00"
"12232","XHPRO1582A","1.141","59","15","110","90","166","2017/8/31 20:00:00"
"12233","XHPRO1582A","1.546","105","20","30","127","190","2017/8/31 22:00:00"
"12234","XHPRO1582A","4.367","142","84","9","162","259","2017/3/20 4:00:00"
"12235","XHPRO1582A","6.257","148","148","8","200","329","2017/3/20 6:00:00"
"12236","XHPRO1582A","6.841","148","117","8","189","340","2017/3/20 5:00:00"
"12237","XHPRO1582A","5.077","145","122","10","183","347","2017/3/20 7:00:00"
"12238","XHPRO1582A","1.341","59","18","59","86","144","2017/9/1"
"12239","XHPRO1582A","11.829","155","","10","269","464","2017/3/20 8:00:00"
"12240","XHPRO1582A","1.823","133","47","28","175","249","2017/3/19 23:00:00"
"12241","XHPRO1582A","1.272","82","17","69","87","197","2017/8/31 21:00:00"
"12242","XHPRO1582A","1.392","149","45","17","172","262","2017/3/19 22:00:00"
"12243","XHPRO1582A","3.871","144","83","9","163","272","2017/3/20 3:00:00"
"12244","XHPRO1582A","1.751","93","20","24","118","210","2017/8/31 23:00:00"
"12245","XHPRO1582A","3.684","136","68","10","199","330","2017/3/20"
"12246","XHPRO1582A","4.912","141","87","8","210","335","2017/3/20 1:00:00"
"12247","XHPRO1582A","4.389","143","89","9","185","280","2017/3/20 2:00:00"
"12248","XHPRO1582A","0.891","63","37","167","125","183","2017/3/19 18:00:00"
"12249","XHPRO1582A","1.444","49","63","95","37","52","2017/3/15 11:00:00"
"12250","XHPRO1582A","3.656","111","98","11","160","338","2017/3/16 9:00:00"
"12251","XHPRO1582A","1.721","135","54","9","185","303","2017/3/19"
"12252","XHPRO1582A","6.692","130","189","35","191","346","2017/3/19 10:00:00"
"12253","XHPRO1582A","2.786","124","69","9","181","365","2017/3/19 3:00:00"
"12254","XHPRO1582A","1.936","118","67","8","104","210","2017/3/16"
"12255","XHPRO1582A","1.131","53","46","178","228","187","2017/3/19 16:00:00"
"12256","XHPRO1582A","1.41","63","79","111","53","119","2017/3/15 14:00:00"
"12257","XHPRO1582A","1.317","85","72","103","92","159","2017/3/15 17:00:00"
"12258","XHPRO1582A","3.175","141","82","8","136","241","2017/3/15 21:00:00"
"12259","XHPRO1582A","0.936","45","40","187","137","227","2017/3/19 17:00:00"
"12260","XHPRO1582A","0.779","53","64","90","51","94","2017/3/15 12:00:00"
"12261","XHPRO1582A","4.185","105","134","19","111","245","2017/3/15 9:00:00"
"12262","XHPRO1582A","2.148","109","66","8","109","222","2017/3/16 3:00:00"
"12263","XHPRO1582A","2.212","102","68","9","110","254","2017/3/16 5:00:00"
"12264","XHPRO1582A","3.731","125","145","9","193","396","2017/3/19 6:00:00"
"12265","XHPRO1582A","1.644","147","73","26","124","229","2017/3/15 19:00:00"
"12266","XHPRO1582A","2.565","144","68","9","139","238","2017/3/15 22:00:00"
"12267","XHPRO1582A","1.063","95","38","95","158","204","2017/3/19 20:00:00"
"12268","XHPRO1582A","4.949","121","124","9","253","514","2017/3/19 8:00:00"
"12269","XHPRO1582A","3.254","118","118","20","183","280","2017/3/16 10:00:00"
"12270","XHPRO1582A","3.509","87","128","114","176","288","2017/3/19 11:00:00"
"12271","XHPRO1582A","2.363","136","49","9","183","275","2017/3/19 1:00:00"
"12272","XHPRO1582A","2.084","60","62","78","43","79","2017/3/15 10:00:00"
"12273","XHPRO1582A","0.925","54","75","112","40","93","2017/3/15 13:00:00"
"12274","XHPRO1582A","2.427","142","79","9","136","248","2017/3/15 20:00:00"
"12275","XHPRO1582A","1.882","122","72","9","100","214","2017/3/16 1:00:00"
"12276","XHPRO1582A","3.057","100","82","9","128","274","2017/3/16 6:00:00"
"12277","XHPRO1582A","2.978","124","109","9","185","346","2017/3/19 4:00:00"
"12278","XHPRO1582A","3.043","104","79","10","138","276","2017/3/16 8:00:00"
"12279","XHPRO1582A","5.698","129","156","15","226","398","2017/3/19 9:00:00"
"12280","XHPRO1582A","0.857","49","43","138","51","109","2017/3/15 15:00:00"
"12281","XHPRO1582A","2.764","121","85","63","133","206","2017/3/15 18:00:00"
"12282","XHPRO1582A","1.555","50","53","174","345","186","2017/3/19 14:00:00"
"12283","XHPRO1582A","2.824","111","83","45","141","229","2017/3/16 11:00:00"
"12284","XHPRO1582A","1.918","139","66","9","110","243","2017/3/15 23:00:00"
"12285","XHPRO1582A","3.744","123","140","9","201","403","2017/3/19 7:00:00"
"12286","XHPRO1582A","0.913","60","46","130","99","107","2017/3/15 16:00:00"
"12287","XHPRO1582A","1.197","39","57","176","197","149","2017/3/19 13:00:00"
"12288","XHPRO1582A","1.056","89","41","119","165","256","2017/3/19 19:00:00"
"12289","XHPRO1582A","2.687","138","53","9","168","287","2017/3/19 2:00:00"
"12290","XHPRO1582A","1.355","48","50","178","611","180","2017/3/19 15:00:00"
"12291","XHPRO1582A","2.378","119","64","9","132","221","2017/3/16 2:00:00"
"12292","XHPRO1582A","1.861","57","74","154","129","212","2017/3/19 12:00:00"
"12293","XHPRO1582A","1.154","129","39","43","160","252","2017/3/19 21:00:00"
"12294","XHPRO1582A","3.104","125","125","9","179","406","2017/3/19 5:00:00"
"12295","XHPRO1582A","1.711","105","79","9","113","320","2017/3/16 4:00:00"
"12296","XHPRO1582A","3.471","102","85","9","156","312","2017/3/16 7:00:00"
"12297","XHPRO1582A","1.469","89","20","9","92","170","2017/9/1 5:00:00"
"12298","XHPRO1582A","4.505","120","112","50","160","375","2017/3/20 10:00:00"
"12299","XHPRO1582A","1.374","82","20","18","101","160","2017/9/1 3:00:00"
"12300","XHPRO1582A","2.189","86","37","25","55","2075","2017/3/20 18:00:00"
"12301","XHPRO1582A","2.52","99","45","16","61","1485","2017/3/20 19:00:00"
"12302","XHPRO1582A","1.316","106","24","8","105","218","2017/9/1 2:00:00"
"12303","XHPRO1582A","1.506","81","21","14","89","162","2017/9/1 4:00:00"
"12304","XHPRO1582A","1.491","86","41","20","60","","2017/3/20 21:00:00"
"12305","XHPRO1582A","1.291","77","18","34","98","182","2017/9/1 1:00:00"
"12306","XHPRO1582A","2.284","101","47","11","68","1103","2017/3/20 20:00:00"
"12307","XHPRO1582A","2.389","85","53","62","114","358","2017/3/20 11:00:00"
"12308","XHPRO1582A","1.843","51","52","81","66","253","2017/3/20 13:00:00"
"12309","XHPRO1582A","1.854","63","53","75","85","306","2017/3/20 12:00:00"
"12310","XHPRO1582A","1.059","48","33","74","50","202","2017/3/20 15:00:00"
"12311","XHPRO1582A","1.358","107","25","7","86","211","2017/9/1 6:00:00"
"12312","XHPRO1582A","1.524","44","43","85","62","164","2017/3/20 14:00:00"
"12313","XHPRO1582A","1.448","60","35","60","47","164","2017/3/20 16:00:00"
"12314","XHPRO1582A","1.816","77","38","41","53","110","2017/3/20 17:00:00"
"12315","XHPRO1582A","1.564","87","22","9","104","201","2017/9/1 7:00:00"
"12316","XHPRO1582A","1.009","44","33","171","58","147","2017/3/16 15:00:00"
"12317","XHPRO1582A","10.051","152","197","15","199","394","2017/3/20 9:00:00"
"12318","XHPRO1582A","1.561","65","22","47","111","184","2017/9/1 9:00:00"
"12319","XHPRO1582A","1.581","35","21","95","104","184","2017/9/1 10:00:00"
"12320","XHPRO1582A","1.678","31","21","114","129","180","2017/9/1 11:00:00"
"12321","XHPRO1582A","1.616","29","20","131","118","177","2017/9/1 12:00:00"
"12322","XHPRO1582A","1.697","87","24","15","99","195","2017/9/1 8:00:00"
"12323","XHPRO1582A","1.547","21","18","157","125","182","2017/9/1 13:00:00"
"12324","XHPRO1582A","4.22","93","108","81","149","244","2017/3/18 11:00:00"
"12325","XHPRO1582A","0.714","45","22","149","80","143","2017/3/18 17:00:00"
"12326","XHPRO1582A","1.619","153","25","7","95","229","2017/9/1 21:00:00"
"12327","XHPRO1582A","7.886","140","169","10","262","500","2017/3/18 9:00:00"
"12328","XHPRO1582A","1.308","24","16","192","109","176","2017/9/1 18:00:00"
"12329","XHPRO1582A","0.86","36","21","160","61","74","2017/3/18 15:00:00"
"12330","XHPRO1582A","5.02","101","117","10","122","283","2017/3/15 8:00:00"
"12331","XHPRO1582A","1.647","21","18","175","108","208","2017/9/1 14:00:00"
"12332","XHPRO1582A","1.115","108","35","61","107","205","2017/3/18 20:00:00"
"12333","XHPRO1582A","1.515","144","48","10","145","258","2017/3/18 22:00:00"
"12334","XHPRO1582A","1.381","38","16","162","98","169","2017/9/1 19:00:00"
