"   ","STATIONCODE","CO","NO2","SO2","O3","PM25","PM10","RECEIVETIME"
"228","XHPRO1193A","1.336","30","6","92","52","129","2017/9/18"
"229","XHPRO1193A","0.738","21","10","108","37","83","2017/9/18 7:00:00"
"230","XHPRO1193A","1.093","16","6","90","47","145","2017/9/19 4:00:00"
"231","XHPRO1193A","0.537","18","2","188","28","111","2017/9/18 14:00:00"
"232","XHPRO1193A","0.614","14","3","168","19","92","2017/9/18 17:00:00"
"233","XHPRO1193A","1.055","29","6","89","54","132","2017/9/19"
"234","XHPRO1193A","1.983","66","12","22","67","172","2017/9/19 9:00:00"
"235","XHPRO1193A","0.788","31","5","127","28","81","2017/9/17 20:00:00"
"236","XHPRO1193A","0.697","25","5","92","22","56","2017/9/22 18:00:00"
"237","XHPRO1193A","0.932","41","6","34","32","85","2017/9/22"
"238","XHPRO1193A","0.841","24","7","61","41","74","2017/9/21 9:00:00"
"239","XHPRO1193A","1.021","58","5","10","43","89","2017/9/22 3:00:00"
"240","XHPRO1193A","0.801","15","4","109","39","107","2017/9/22 12:00:00"
"241","XHPRO1193A","0.588","12","5","142","27","79","2017/9/22 15:00:00"
"242","XHPRO1193A","0.81","35","5","75","26","87","2017/9/22 19:00:00"
"243","XHPRO1193A","0.944","15","5","117","58","129","2017/9/20 17:00:00"
"244","XHPRO1193A","0.874","27","7","59","34","83","2017/9/21 23:00:00"
"245","XHPRO1193A","1.018","53","6","13","34","106","2017/9/22 2:00:00"
"246","XHPRO1193A","1.019","30","5","43","40","96","2017/9/22 9:00:00"
"247","XHPRO1193A","0.609","14","4","146","38","91","2017/9/22 14:00:00"
"248","XHPRO1193A","0.632","16","5","122","26","92","2017/9/22 16:00:00"
"249","XHPRO1193A","0.88","17","6","133","46","102","2017/9/20 16:00:00"
"250","XHPRO1193A","0.585","17","6","116","32","65","2017/9/22 17:00:00"
"251","XHPRO1193A","0.907","27","8","61","35","88","2017/9/21 22:00:00"
"252","XHPRO1193A","1.015","52","5","19","45","114","2017/9/22 1:00:00"
"253","XHPRO1193A","0.681","13","4","136","41","104","2017/9/22 13:00:00"
"254","XHPRO1193A","0.992","27","5","35","35","88","2017/9/22 8:00:00"
"255","XHPRO1193A","0.595","12","6","135","52","68","2017/10/20 13:00:00"
"256","XHPRO1193A","0.676","13","4","138","38","63","2017/10/20 15:00:00"
"257","XHPRO1193A","0.558","12","4","139","48","60","2017/10/20 14:00:00"
"258","XHPRO1193A","1.388","36","32","43","244","278","2016/12/16 13:00:00"
"259","XHPRO1193A","1.153","35","33","49","184","200","2016/12/16 14:00:00"
