4.4	2.23	68.67
4.8	2	69.57
5.93	2	69.9
4.62	0.34	64.52
3.77	2	68.97
4.17	2	68.9
4.37	2.43	68.1
4.31	3	66.17
4.62	3.69	64.38
4.48	4	63.66
4.9	4	62.87
5.43	4.4	63
5.47	5	61.67
4.45	3.79	65.07
4.3	3	66.87
5.1	3	68.07
5.47	3	69
5.17	3	68.37
5.2	3	67.6
6.33	2.1	68.97
7.37	2	70
7.6	2	70
7.35	2	70.81
7.57	2	70.2
8.86	2	70
9.17	2	69.7
8.59	2.48	68.55
9	3	68
8.47	3	68.37
9.34	3	69.41
9.47	3.37	71.23
9.33	4.9	65.4
9.2	5.57	62.43
9.34	5.76	62.52
9.93	6	62.03
9.76	5.48	63.07
11	5	67.93
10.97	4.17	76.76
10.48	3	86.21
9.83	3	89.1
8.07	3	92.03
7.03	3	91.23
3.52	3.59	87.69
2.47	4	84.07
2.59	4	79.97
2.69	4.76	78.21
3.38	5	78
3.93	5	77.93
4.45	5	77.34
4.17	5.76	76.03
4.45	5.48	79.17
4.59	5.38	83.86
4.24	6	83.14
4.45	7	77.86
0.8	9.77	78.27
1.21	9.48	77.72
1.34	8.66	84.34
2.03	8	87.38
1.72	8	85.9
2.07	8	86.57
2.1	8	87.76
1.97	7.31	89.17
1.59	7	88.21
1.34	7	88.41
1.9	7	91.9
1.55	7	92.17
2.63	6.27	94.07
4.13	6	95.9
8.66	5.69	96.17
9.13	4.47	96.13
6.57	4.3	98.4
5.69	6.45	95.9
4.86	9.28	85.03
7.48	10.21	83.66
6.93	9.83	86.62
5.45	9	91.21
5.24	8.69	92.69
3.97	7.55	93.86
3.07	7	96.03
3.14	7	98.86
3.48	7	100.07
2.1	7	99.23
1.9	6.34	99.48
1.86	7	100.03
1.86	7	100
2.9	7	100.47
3.07	7.97	101
1.37	9.8	103
0.14	11	101.17
0.41	11	100.76
9.48	10.03	97.86
24.38	7.72	98.9
18.93	7	99.23
11	6.55	98.66
16.34	6	99.86
15.38	6.97	99.48
16.79	7.86	98.9
19.07	9.55	96.86
11.93	10.9	93.31
8.45	11	91.03
7.21	11	88.55
7.21	11	88.9
11.93	10.34	93.21
24.52	8.69	96.83
34.52	8	98.69
47	8	98.93
40	7.73	99
31.27	8	98.67
22.59	7.1	98
15	7	98
17.24	7	98.66
18.43	7	98.97
17.67	7	98.13
15.14	6.97	98.03
12.14	6.03	98
9.55	6	98
9.27	6	98.8
10.87	6	100
7.17	6	99.97
4.83	6	99.17
5.66	6	99.72
5.83	6.93	98.93
6.07	7	97.38
4.57	7.13	96.37
2.77	7	95.23
3.24	6.52	95.9
3.69	6	96.38
5.97	6	96.83
11.21	5.41	97.31
19.38	5.14	98.76
24.9	5	98.21
33.69	5	98.9
41	5.34	98.28
45.72	5	99
25.21	5	98.21
20.03	5	97.93
16.1	4.41	97.48
18.48	3.34	98.69
20.1	2.66	98.93
21.9	3	100
22.72	3.9	99.14
24.45	4	99.66
22.69	4.31	100.55
21.34	5.31	98.48
12.76	6.55	94.48
11.03	7.28	90.83
9.14	8	88.17
9.03	9.31	85.62
8.37	8.53	84.87
11.9	8.38	86.69
10.9	7.07	91.14
10.48	7	93.17
12.52	7	94.34
14.72	6.17	94.24
23.53	5.4	94.6
14.93	5	95.59
17.52	5	95.59
21.62	4.31	95.62
17.93	4	96
13.31	4	95.76
18.45	4	96
4.79	5.93	89.79
5.59	6	91.31
4.97	6	97.93
5.66	6	98.69
4.86	6	97.69
1.62	6	98.55
1.48	6	98.9
1.07	6.41	97.93
3.38	7	96.59
3.86	7.31	94.9
2.13	8	93.6
1.97	8	94.76
2.62	8.41	95.55
0.8	9	96.3
0.79	9	98.66
0.45	9	99.1
